WKT,Name,Beschreibung
"POINT (12.2324912 50.2821796)",Bad Elster,
"POINT (12.0586089 50.3772222)",Bobenneukirchen,
"POINT (12.0999712 50.3942771)",Bösenbrunn,
"POINT (12.3079705 50.22131539999999)",Brambach,
"POINT (12.0623851 50.40061970000001)",Dröda,
"POINT (12.1725214 50.3481665)",Eichigt,
"POINT (12.3747887 50.31193510000001)",Erlbach,
"POINT (12.3298538 50.2711949)",Landwüst,
"POINT (12.2665894 50.37225409999999)",Marieney,
"POINT (12.3281398 50.31156989999999)",Markneukirchen,
"POINT (12.1758073 50.4175985)",Oelsnitz Hauptkirche
,
"POINT (12.17329 50.41343999999999)",Oelsnitz Katharinenkirche,
"POINT (12.1008847 50.4212527)",Planschwitz,
"POINT (12.0756407 50.3348497)",Posseck,
"POINT (12.2854584 50.2549746)",Raun,
"POINT (12.0303583 50.3448354)",Sachsgrün,
"POINT (12.3063117 50.1822204)",Schönberg,
"POINT (12.3356774 50.3936523)",Schöneck ,
"POINT (12.1166915 50.4375058)",Taltitz,
"POINT (12.2562527 50.4355599)",Tirpersdorf,
"POINT (12.120456 50.368078)",Untertriebel ,
"POINT (12.2212481 50.375459)",Unterwürschnitz,
"POINT (11.9996666 50.3636483)",Wiedersberg,
"POINT (12.3097216 50.3545534)",Wohlbach,
"POINT (14.805069 50.9415874)",Oberseifersdorf,
"POINT (14.5939044 51.22727980000001)",Baruth,
"POINT (14.4324293 51.1764428)",Bautzen Maria- u. Martha-Kirche,
"POINT (14.4209351 51.1810343)",Bautzen Michaeliskirche,
"POINT (14.4237138 51.182417)",Bautzen Petrikirche,
"POINT (14.4366562 51.1812464)",Bautzen Taucherkirche,
"POINT (14.8228423 51.047156)",Bernstadt,
"POINT (14.7545095 51.02769929999999)",Berthelsdorf,
"POINT (14.7278231 50.8823629)",Bertsdorf,
"POINT (14.8815326 51.0608617)",Berzdorf
,
"POINT (14.0319931 51.24134129999999)",Bischheim,
"POINT (14.1796474 51.1757172)",Burkau,
"POINT (14.8596309 50.98686000000001)",Burkersdorf,
"POINT (14.4535237 51.08605679999999)",Crostau,
"POINT (14.5208145 51.0983923)",Cunewalde,
"POINT (14.8735015 50.9548098)",Dittelsdorf,
"POINT (14.8645736 51.0164772)",Dittersbach,
"POINT (14.6037156 51.0484376)",Dürrhennersdorf,
"POINT (14.5905347 51.0040105)",Ebersbach,
"POINT (14.6510284 50.9878774)",Eibau,
"POINT (14.1319618 51.2224286)",Elstra,
"POINT (14.1085684 51.13132470000001)",Frankenthal,
"POINT (14.0014959 51.20470049999999)",Friedersdorf,
"POINT (14.3142034 51.1344977)",Gaußig,
"POINT (14.6229971 51.2063669)",Gröditz,
"POINT (14.0158717 51.34821059999999)",Grossgrabe,
"POINT (14.7920665 50.9889498)",Großhennersdorf,
"POINT (14.6629689 50.8937654)",Großschönau,
"POINT (14.56027 51.25829160000001)",Guttau,
"POINT (14.7044239 50.9108423)",Hainewalde,
"POINT (14.0919438 51.1540798)",Hauswalde,
"POINT (14.7406151 51.0172494)",Herrnhut,
"POINT (14.7279964 51.07278549999999)",Herwigsdorf,
"POINT (14.7636011 50.9232246)",Herwigsdorf,
"POINT (14.8891188 50.944667)",Hirschfelde,
"POINT (14.5708606 51.14929249999999)",Hochkirch,
"POINT (14.7507568 50.8986947)",Hörnitz,
"POINT (14.7006303 50.8546026)",Jonsdorf,
"POINT (14.0954456 51.26806329999999)",Kamenz Katechismuskirche,
"POINT (14.0944918 51.2714387)",Kamenz Klosterkirche
,
"POINT (14.089599 51.27149980000001)",Kamenz Stadtkirche
,
"POINT (14.7901091 51.0647867)",Kemnitz,
"POINT (14.6771188 51.1300122)",Kittlitz,
"POINT (14.5344758 51.2149369)",Kleinbautzen,
"POINT (14.8451047 50.8961761)",Kleinschönau,
"POINT (14.3911157 51.2109535)",Kleinwelka,
"POINT (14.5251992 51.2645578)",Klix,
"POINT (13.8994289 51.2678455)",Königsbrück,
"POINT (14.3310113 51.3107087)",Königswartha,
"POINT (14.6214795 51.1848515)",Kotitz,
"POINT (14.6279142 51.0309426)",Kottmarsdorf,
"POINT (14.6006732 51.0801725)",Lawalde,
"POINT (14.9458333 51.04207389999999)",Leuba,
"POINT (14.6479619 50.958861)",Leutersdorf,
"POINT (14.667309 51.0913225)",Löbau Heilig-Geist-Kirche,
"POINT (14.6683952 51.09551310000001)",Löbau Johanniskirche,
"POINT (14.6672979 51.09623120000001)",Löbau St. Nikolai,
"POINT (14.769568 50.825011)",Lückendorf,
"POINT (14.3990354 51.26670379999999)",Luppa,
"POINT (14.5208636 51.2374479)",Malschwitz,
"POINT (14.4559026 51.2997076)",Milkel,
"POINT (14.3292549 51.26946299999999)",Neschwitz,
"POINT (14.6094853 50.9774308)",Neugersdorf,
"POINT (13.9785885 51.2857134)",Neukirch,
"POINT (14.3069437 51.0947498)",Neukirch,
"POINT (14.6588737 51.05219169999999)",Niedercunnersdorf,
"POINT (14.7269899 50.9527589)",Niederoderwitz,
"POINT (14.6765773 51.16455389999999)",Nostitz,
"POINT (14.6717337 51.0319686)",Obercunnersdorf,
"POINT (14.0630002 51.2255823)",Obergersdorf,
"POINT (14.6972011 50.9750367)",Oberoderwitz,
"POINT (14.8525608 50.8709714)",Oberullersdorf,
"POINT (14.769225 50.8736304)",Olbersdorf,
"POINT (14.5050441 51.05665219999999)",Oppach,
"POINT (14.1663952 51.3602427)",Oßling,
"POINT (14.9314311 51.01573639999999)",Ostritz,
"POINT (14.7457956 50.836845)",Oybin,
"POINT (14.2225593 51.1643207)",Pohla,
"POINT (14.4249589 51.0993968)",Postwitz,
