WKT,Name,Beschreibung
"POINT (11.383857 51.404381)",Allstedt,
"POINT (11.3633336 51.3529339)",Heygendorf,
"POINT (11.3629921 51.35922689999999)",Schaafsdorf,
"POINT (11.3728476 51.3780663)",Mönchpfiffel,
"POINT (11.3402657 51.4249763)",Niederröblingen,
"POINT (11.0068397 51.37300159999999)",Bendeleben,
"POINT (11.0466072 51.3630683)",Rottleben,
"POINT (11.0237533 51.394973)",Steinthaleben,
"POINT (10.9340536 51.2315815)",Clingen,
"POINT (10.9188998 51.2387488)",Westgreußen,
"POINT (10.7294328 51.28265169999999)",Ebeleben,
"POINT (10.7357276 51.2368961)",Allmenhausen,
"POINT (10.7375518 51.2643488)",Billeben,
"POINT (10.7000397 51.26914050000001)",Rockensußra,
"POINT (10.762043 51.28479170000001)",Rockstedt,
"POINT (10.9467035 51.2279766)",Greußen,
"POINT (10.9990992 51.2763118)",Niederbösa,
"POINT (10.9762694 51.2853297)",Trebra,
"POINT (10.8354492 51.24933539999999)",Großenehrich,
"POINT (10.7881745 51.2714767)",Bellstedt,
"POINT (10.8043551 51.2545684)",Wenigenehrich,
"POINT (10.8141341 51.2695476)",Thüringenhausen,
"POINT (10.7616518 51.2622137)",Abtsbessingen,
"POINT (10.7758537 51.23336609999999)",Freienbessingen,
"POINT (10.8044448 51.236962)",Wolferschwenda,
"POINT (10.8435256 51.2259036)",Rohnstedt,
"POINT (11.0151605 51.34523709999999)",Göllingen,
"POINT (11.0484541 51.3072981)",Günserode,
"POINT (10.9673636 51.34328960000001)",Hachelbich,
"POINT (11.0381666 51.3253441)",Seega,
"POINT (10.5925861 51.34259170000001)",Holzthaleben,
"POINT (10.5303757 51.3312074)",Keula,
"POINT (10.4902122 51.3178918)",Kleinkeula,
"POINT (11.3368845 51.34447669999999)",Kalbsrieth,
"POINT (11.4298129 51.35063530000001)",Landgrafroda,
"POINT (10.5849413 51.2280589)",Körner,
"POINT (10.63791 51.21987)",Hohenbergen,
"POINT (10.5678497 51.2499938)",Volkenroda,
"POINT (10.5600049 51.3074921)",Menteroda,
"POINT (10.6121157 51.2657917)",Großmehlra,
"POINT (10.598479 51.2704986)",Obermehler,
"POINT (10.6038948 51.29535019999999)",Urbach,
"POINT (10.8527967 51.3125766)",Oberspier,
"POINT (10.8147209 51.3059368)",Hohenebra,
"POINT (10.8440087 51.28833059999999)",Niederspier,
"POINT (10.7957916 51.30648490000001)",Thalebra,
"POINT (10.8960387 51.2579934)",Wasserthaleben,
"POINT (11.1706133 51.3070993)",Oldisleben,
"POINT (11.1274624 51.3318892)",Seehausen,
"POINT (11.2204742 51.36677879999999)",Ringleben,
"POINT (11.2316689 51.3957129)",Borxleben,
"POINT (11.2030055 51.3840599)",Ichstedt,
"POINT (11.1646928 51.3748709)",Udersleben,
"POINT (10.7720547 51.32611279999999)",Schernberg,
