WKT,Name,Beschreibung
"POINT (10.2337445 50.8947861)",Burkhardtroda,
"POINT (10.4973404 50.9567688)",Burla,
"POINT (10.2481358 51.0528416)",Creuzburg,
"POINT (10.0156014 50.9255637)",Dankmarshausen,
"POINT (10.4343953 50.9315433)",Deubach,
"POINT (10.045959 50.9188828)",Dippach,
"POINT (10.3084404 51.0871505)",Ebenshausen,
"POINT (10.2636295 50.91475)",Eckardtshausen,
"POINT (10.3195369 50.97439960000001)",Eisenach,
"POINT (10.4746659 50.9746052)",Ettenhausen-Nesse,
"POINT (10.297446 50.8946834)",Etterwinden,
"POINT (10.392581 50.9411597)",Farnroda,
"POINT (10.1284241 50.9387874)",Fernbreitenbach,
"POINT (10.2347836 50.9388804)",Förtha,
"POINT (10.2749 51.0956904)",Frankenroda-Werra,
"POINT (10.0771962 50.96753080000001)",Gerstungen,
"POINT (10.1906202 50.99450359999999)",Göringen,
"POINT (10.1033108 50.9061543)",Gospenroda,
"POINT (10.4086484 50.9944295)",Großenlupnitz,
"POINT (9.9727765 50.9348584)",Großensee und Raßdorf,
"POINT (10.331496 51.1350548)",Hallungen,
"POINT (10.4782977 50.96160440000001)",Hastrungsfeld,
"POINT (10.0960275 50.9486827)",Herda,
"POINT (10.227857 51.0068505)",Hörschel,
"POINT (10.0953859 50.9227077)",Horschlitt,
"POINT (10.3659837 51.0105976)",Hötzelsroda,
"POINT (10.1801211 51.0642244)",Ifta,
"POINT (10.4601895 50.9413819)",Kälberfeld,
"POINT (10.3814531 50.924352)",Kittelsthal,
"POINT (10.2715668 51.0172317)",Krauthausen,
"POINT (10.1575084 50.99334609999999)",Lauchröden,
"POINT (10.3520957 51.0688754)",Lauterbach,
"POINT (10.2881361 51.0177533)",Madelungen,
"POINT (10.2026079 50.9136678)",Marksuhl,
"POINT (10.448936 50.9742818)",Melborn,
"POINT (10.3332865 51.0770591)",Mihla,
"POINT (10.3626756 50.93768650000001)",Mosbach,
"POINT (10.3363461 51.1141148)",Nazza,
"POINT (10.2127981 50.9972325)",Neuenhof,
"POINT (10.3384425 51.02141030000001)",Neukirchen,
"POINT (10.0951862 50.9980595)",Neustädt an der Werra,
"POINT (10.186834 50.95016019999999)",Oberellen,
"POINT (10.2212421 51.0228785)",Pferdsdorf,
"POINT (10.3671885 50.89110669999999)",Ruhla,
"POINT (10.1051031 51.0018773)",Sallmannshausen,
"POINT (10.4772456 50.9468577)",Sättelstädt,
